摇滚,电子音乐,乡村,民谣,轻音乐,古典,新世纪,雷鬼,布鲁斯,节奏与布鲁斯,原声,世界音乐,儿童音乐,拉丁,朋克,金属,爵士,嘻哈,唱作人,娱乐/舞台,其他
6210,5658,574,72,,439,,87,18,1711,370,251,152,141,22,199,196,5990,153,66,2900
6107,5644,574,71,,438,,86,18,1692,362,248,152,140,22,196,195,5989,152,66,2856
6092,5555,568,70,,436,,85,17,1691,362,246,149,139,21,194,194,5943,150,66,2847
5981,5516,567,70,,425,,85,17,1670,361,246,144,138,21,194,193,5890,149,65,2774
5845,5423,564,70,,423,,83,17,1620,355,245,143,138,21,191,191,5828,148,65,2738
5829,5296,555,69,,422,,83,17,1590,352,244,142,135,20,190,191,5787,147,64,2731
5613,5295,542,69,,421,,82,17,1555,351,243,142,134,20,188,191,5725,145,64,2698
5612,5106,540,68,,414,,81,17,1550,350,243,140,134,20,187,186,5556,143,64,2664
5461,5090,537,68,,406,,81,16,1547,348,242,137,133,20,182,182,5547,142,63,2598
5420,5013,534,67,,403,,81,16,1540,336,239,136,133,19,179,182,5506,141,63,2552
5230,4888,533,67,,397,,81,16,1535,334,239,136,133,19,178,181,5485,137,63,2526
5191,4851,532,67,,394,,78,16,1491,327,239,136,131,19,178,181,5302,135,63,2417
5159,4739,528,65,,394,,78,16,1427,323,234,134,131,19,175,180,5294,135,62,2413
5087,4737,525,65,,393,,78,15,1407,321,233,134,130,19,175,180,5106,135,62,2409
5055,4661,523,65,,389,,76,15,1396,320,232,132,130,19,173,180,5071,134,61,2402
4964,4634,521,63,,386,,75,15,1382,317,232,132,129,18,170,179,4939,132,61,2401
4932,4562,514,63,,384,,74,15,1380,316,220,128,129,18,170,178,4918,130,60,2400
4927,4545,511,62,,380,,72,15,1379,312,219,128,129,17,169,178,4902,130,60,2388
4903,4356,504,61,,379,,72,15,1362,311,219,127,129,17,169,174,4890,130,60,2368
4814,4151,503,61,,374,,72,15,1358,307,218,127,128,17,167,173,4875,128,60,2350
4760,4034,502,61,,372,,71,15,1350,302,218,125,128,16,167,172,4795,128,59,2326
4747,3944,497,61,,371,,70,14,1308,300,215,125,127,16,167,169,4571,128,58,2314
4743,3924,494,60,,371,,70,14,1305,299,213,123,125,15,164,167,4520,127,58,2313
4666,3839,490,59,,370,,69,14,1285,299,210,122,125,15,163,166,4432,127,58,2264
4612,3815,489,59,,369,,69,14,1281,299,210,122,125,15,163,163,4323,126,58,2257
4566,3813,487,58,,365,,68,14,1269,294,210,118,124,14,162,160,4281,126,58,2235
4478,3766,479,57,,361,,68,13,1269,293,209,116,123,14,162,160,4259,124,57,2231
4457,3750,479,57,,360,,67,13,1263,291,208,116,123,13,162,159,4214,123,57,2224
4406,3718,478,57,,358,,67,12,1253,290,206,115,122,13,159,159,4196,120,57,2214
4382,3654,474,57,,358,,66,12,1244,289,206,110,122,13,158,158,4180,119,57,2211
4293,3628,470,57,,358,,66,12,1243,287,206,108,121,13,157,156,4170,119,57,2206
4208,3411,470,56,,354,,65,12,1235,284,205,108,121,13,152,156,4130,117,56,2168
4194,3385,468,56,,350,,65,12,1226,284,204,108,119,12,151,155,4124,115,56,2137
4160,3384,467,56,,349,,65,12,1223,283,201,108,119,12,150,154,4118,114,55,2134
4001,3370,466,55,,349,,65,12,1211,277,201,107,117,12,149,154,4117,113,55,2117
3988,3266,464,55,,347,,64,12,1208,277,201,107,117,12,146,154,4099,112,55,2039
3969,3223,463,55,,345,,63,12,1175,274,201,107,115,11,145,152,4098,112,54,2038
3936,3151,457,55,,343,,63,11,1153,274,200,107,115,11,145,152,4083,110,54,2020
3935,3148,456,54,,340,,63,11,1137,271,198,106,115,11,143,151,4067,110,54,2005
3892,3127,453,54,,340,,63,11,1135,271,197,102,115,10,143,150,4030,109,54,1987
3882,2987,451,54,,337,,62,11,1128,270,197,101,114,10,143,150,3948,109,53,1959
